plate_number,location,timestamp,camera_id
RJ-14-CD-2222,Jaipur,2026-07-14 16:46:44,CAM-958
MH-12-AB-1111,Delhi,2026-05-31 19:18:54,CAM-468
RJ-14-CD-2222,Noida,2026-07-01 21:16:40,CAM-796
UP-16-IJ-5555,Pune,2026-07-23 09:35:58,CAM-287
RJ-14-CD-2222,Pune,2026-07-05 07:02:05,CAM-293
MH-02-EF-3333,Delhi,2026-06-06 08:43:29,CAM-973
MH-02-EF-3333,Mumbai,2026-06-08 12:11:19,CAM-786
DL-01-GH-4444,Delhi,2026-08-15 01:37:44,CAM-435
MH-12-AB-1111,Pune,2026-06-03 11:34:49,CAM-750
MH-02-EF-3333,Pune,2026-06-03 14:58:36,CAM-763
MH-02-EF-3333,Delhi,2026-07-03 12:46:59,CAM-852
DL-01-GH-4445,Delhi,2026-08-25 05:51:54,CAM-232
DL-01-GH-4445,Pune,2026-07-17 03:45:12,CAM-799
DL-01-GH-4444,Noida,2026-06-01 20:29:16,CAM-968
MH-12-AB-1111,Jaipur,2026-06-19 10:49:18,CAM-555
MH-02-EF-3333,Noida,2026-08-22 16:57:34,CAM-377
UP-16-IJ-5555,Mumbai,2026-07-16 04:05:04,CAM-188
DL-01-GH-4444,Gurgaon,2026-07-22 14:49:27,CAM-684
DL-01-GH-4445,Jaipur,2026-07-08 05:46:47,CAM-806
MH-02-EF-3333,Noida,2026-06-20 00:33:49,CAM-779
RJ-14-CD-2222,Pune,2026-08-08 14:05:20,CAM-432
UP-16-IJ-5555,Delhi,2026-07-11 05:20:16,CAM-890
MH-12-AB-1111,Noida,2026-07-27 09:48:43,CAM-678
RJ-14-CD-2222,Mumbai,2026-06-30 22:45:20,CAM-429
DL-01-GH-4445,Delhi,2026-06-11 12:49:15,CAM-543
MH-02-EF-3333,Mumbai,2026-06-10 23:31:44,CAM-256
MH-12-AB-1111,Mumbai,2026-06-20 14:57:38,CAM-321
RJ-14-CD-2222,Mumbai,2026-06-13 06:40:07,CAM-670
MH-02-EF-3333,Pune,2026-06-29 10:42:23,CAM-235
MH-02-EF-3333,Pune,2026-06-09 00:55:20,CAM-422
DL-01-GH-4444,Mumbai,2026-07-30 20:27:35,CAM-556
DL-01-GH-4444,Noida,2026-07-05 04:19:22,CAM-998
DL-01-GH-4445,Mumbai,2026-07-03 18:02:41,CAM-931
UP-16-IJ-5555,Noida,2026-07-21 18:04:41,CAM-723
UP-16-IJ-5555,Jaipur,2026-07-22 17:33:21,CAM-302
UP-16-IJ-5555,Gurgaon,2026-07-24 15:22:48,CAM-240
UP-16-IJ-5555,Pune,2026-08-25 22:56:00,CAM-408
RJ-14-CD-2222,Pune,2026-06-21 11:18:15,CAM-206
RJ-14-CD-2222,Mumbai,2026-07-21 07:59:05,CAM-966
RJ-14-CD-2222,Mumbai,2026-07-11 09:55:34,CAM-383
MH-12-AB-1111,Pune,2026-06-11 22:28:05,CAM-217
DL-01-GH-4445,Delhi,2026-07-22 01:42:47,CAM-766
MH-02-EF-3333,Pune,2026-06-02 16:50:30,CAM-157
MH-02-EF-3333,Mumbai,2026-08-03 23:24:58,CAM-400
DL-01-GH-4444,Jaipur,2026-05-29 03:22:39,CAM-654
MH-02-EF-3333,Jaipur,2026-06-12 15:22:06,CAM-338
DL-01-GH-4445,Delhi,2026-06-19 06:54:27,CAM-987
MH-12-AB-1111,Jaipur,2026-07-12 06:48:16,CAM-406
DL-01-GH-4444,Pune,2026-07-27 16:16:27,CAM-108
DL-01-GH-4444,Mumbai,2026-06-16 06:32:14,CAM-830
DL-01-GH-4444,Delhi,2026-06-19 02:00:20,CAM-974
